memberIdentifier	legalFirstName	legalLastName	birthDate	last4SSN	memberSince	acctStatus	contactEmail	contactPhone	homeStreet	homeCity	homeState	homeZip	bankAcctNumber	bankAcctType	accountOpenedDate	savingsBalance	portfolioValue	debtBalance	retirementValue	monthlyDeposit	investRisk	annualSalary
LKS-30001	Robert	Hoffman	1972-08-15	6631	2005-03-22	active	robert.hoffman@lakecity.com	9204441001	2211 Lake Shore Dr	Sheboygan	WI	53081	LKS-771001	savings	2005-03-22	18500.00	62000.00	0.00	245000.00	950.00	moderate	91000
LKS-30002	Angela	Nowak	1985-11-27	3398	2013-06-10	active	angela.nowak@gmail.com	9204441002	480 Riverview Blvd	Oshkosh	WI	54901	LKS-771002	checking	2013-06-10	9200.00	28000.00	14000.00	112000.00	500.00	moderate	69000
LKS-30003	Dennis	Schroeder	1960-04-03	9965	2000-01-17	active	dennis.s@yahoo.com	9204441003	77 Elmwood Rd	Fond du Lac	WI	54935	LKS-771003	401k	2000-01-17	14500.00	0.00	0.00	488000.00	0.00	conservative	47000
LKS-30004	Maria	Delgado	1993-09-19	4432	2019-04-28	active	maria.delgado@icloud.com	9204441004	1000 Birchwood Ct	Manitowoc	WI	54220	LKS-771004	savings	2019-04-28	3400.00	7000.00	9500.00	28000.00	200.00	aggressive	43000
LKS-30005	Henry	Voigt	1977-02-11	7799	2008-09-04	active	henry.voigt@outlook.com	920444100	390 Cedar Falls Ave	Two Rivers	WI	54241	LKS-771005	checking	2008-09-04	22000.00	71000.00	0.00	298000.00	1100.00	moderate	97000
LKS-30006	Sandra	Bukowski	1964-07-28	2266	2003-12-19	active	s.bukowski@hotmail.com	9204441006	841 Pine Hollow Rd	Kiel	WI	53042	LKS-771006	IRA	2003-12-19	0.00	88000.00	0.00	352000.00	1350.00	conservative	104000
LKS-30007	Thomas	Lemke	1990-12-07	5533	2017-08-15	active	thomas.lemke@gmail.com	9204441007	214 Spruce Run	Chilton	WI	53014	LKS-771007	savings	2017-08-15	5600.00	16000.00	11000.00	78000.00	400.00	moderate	74000
LKS-30008	Christine	Roth	1955-05-22	8800	1997-02-08	active	croth_no_at_sign.com	9204441008	588 Willow Blvd	New Holstein	WI	53061	LKS-771008	401k	1997-02-08	19000.00	0.00	0.00	542000.00	0.00	conservative	42000
LKS-30009	Gregory	Sauer	1988-03-16	3367	2015-11-21	active	gsauer@techfirm.net	9204441009	733 Oak Crossing	Plymouth	WI	53073	LKS-771009	checking	2015-11-21	12800.00	39000.00	16000.00	155000.00	700.00	moderate	86000
LKS-30010	Nancy	Pfeiffer	1974-10-31	6634	2007-05-13	active	nancy.pfeiffer@gmail.com	9204441010	22 Lakeview Terrace	Sheboygan	WI	53082	LKS-771010	savings	2007-05-13	8100.00	25000.00	0.00	205000.00	800.00	moderate	88000
LKS-30011	Lawrence	Gruber	1948-01-17	9901	1992-08-30	active	larry.g@retired.com	9204441011	118 Maple Summit	Oshkosh	WI	54902	LKS-771011	IRA	1992-08-30	0.00	105000.00	0.00	628000.00	0.00	conservative	36000
LKS-30012	Stephanie	Witt	1991-06-04	4468	2018-02-26	active	stephanie.witt@design.co	9204441012	399 Hickory Grove	Fond du Lac	WI	54936	LKS-771012	savings	2018-02-26	6700.00	19000.00	8000.00	88000.00	450.00	moderate	79000
LKS-30013		Manders	1981-09-20	7735	2011-07-11	active	bill.manders@oldtech.com	9204441013	701 Elm Crest Blvd	Manitowoc	WI	54221	LKS-771013	checking	2011-07-11	16400.00	53000.00	22000.00	195000.00	850.00	moderate	95000
LKS-30014	Patricia	Steinke	1969-03-29	2202	2004-10-05	active	pat.steinke@yahoo.com	9204441014	512 Birch Hollow	Two Rivers	WI	54242	LKS-771014	IRA	2004-10-05	0.00	79000.00	0.00	338000.00	1200.00	conservative	102000
LKS-30015	Ronald	Jager	1995-11-14	5569	2021-05-17	active	rjager@newgrad.edu	9204441015	67 Pine Needle Ct	Kiel	WI	53043	LKS-771015	savings	2021-05-17	1800.00	3500.00	7500.00	12000.00	120.00	aggressive	41000
LKS-30016	Diane	Glotz	1983-07-08	8836	2012-04-01	active	diane.glotz@accountingfirm.com	9204441016	284 Cedar Spring	Chilton	WI	53015	LKS-771016	checking	2012-04-01	14200.00	45000.00	0.00	172000.00	750.00	moderate	83000
LKS-30017	Edward	Kroll	1957-12-25	3303	1998-06-12	active	edward.kroll@aol.com	920444101	855 Willow Summit	New Holstein	WI	53062	LKS-771017	401k	1998-06-12	21000.00	0.00	0.00	512000.00	0.00	conservative	45000
LKS-30018	Linda	Schwartz	1986-04-17	6670	2014-09-29	active	linda.schwartz@legalco.com	9204441018	178 Oak Ridge	Plymouth	WI	53074	LKS-771018	savings	2014-09-29	7400.00	23000.00	13000.00	128000.00	550.00	moderate	76000
LKS-30019	Joseph	Hartman	1979-01-23	9937	2010-03-08	active	joe.hartman@construction.biz	9204441019	443 Lakeview Blvd	Sheboygan	WI	53083	LKS-771019	checking	2010-03-08	19800.00	62000.00	5000.00	262000.00	1000.00	moderate	101000
LKS-30020		Krueger	1962-08-06	4404	2002-07-24	active	r.krueger@oldaccount.com	9204441020	521 Maple Glen	Oshkosh	WI	54903	LKS-771020	IRA	2002-07-24	0.00	95000.00	0.00	415000.00	1450.00	conservative	98000
