member_num,first_name,last_name,birth_date,ssn_last4,join_date,member_status,email,phone_num,street,city,state,zip,acct_num,acct_type,acct_open,balance,invest_balance,loan_amt,retire_bal,monthly_contrib,risk_level,yearly_income
MWF-10001,James,Harrington,1968-03-14,4521,2004-01-15,active,james.harrington@email.com,4145550101,1242 Oak Blvd,Milwaukee,WI,53201,ACC-881001,checking,2004-01-15,15240.50,42000.00,0.00,185000.00,500.00,moderate,78000
MWF-10002,Linda,Beaumont,1975-07-22,9834,2010-06-01,active,linda.beaumont@midwestfcu.org,4145550202,88 Elm Drive,Wauwatosa,WI,53213,ACC-881002,savings,2010-06-01,3200.00,0.00,12000.00,54000.00,200.00,conservative,51000
MWF-10003,Carlos,Menendez,1990-11-30,1123,2018-03-10,active,carlos.menendez@gmail.com,4145550303,304 Maple St,Kenosha,WI,53140,ACC-881003,savings,2018-03-10,800.00,5000.00,0.00,8200.00,150.00,aggressive,39000
MWF-10004,Patricia,O'Brien,1962-05-05,7756,2001-09-20,active,pobrien@heritagecu.net,4145550404,21 Cedar Lane,Racine,WI,53402,ACC-881004,checking,2001-09-20,28900.00,95000.00,0.00,310000.00,1200.00,moderate,105000
MWF-10005,Derek,Yamamoto,1988-12-01,3390,2015-04-18,active,derek.yam@not-an-email,4145550505,900 Pine Ave,Green Bay,WI,54301,ACC-881005,IRA,2015-04-18,0.00,0.00,0.00,42000.00,400.00,conservative,62000
MWF-10006,Theresa,Kowalski,1979-08-17,6612,2012-11-30,active,theresa.k@gmail.com,41455506,715 Birch Rd,Sheboygan,WI,53081,ACC-881006,savings,2012-11-30,5500.00,12000.00,8000.00,75000.00,350.00,moderate,67000
MWF-10007,Brian,Nguyen,1983-02-28,8843,2009-07-14,active,brian.nguyen@techco.com,4145550707,1555 Walnut Blvd,Oshkosh,WI,54901,ACC-881007,checking,2009-07-14,9800.00,31000.00,15000.00,140000.00,600.00,aggressive,88000
MWF-10008,Sandra,Griffin,1955-10-10,2278,1998-01-05,active,sgriffinAThotmail.com,4145550808,23 Spruce Ct,Fond du Lac,WI,54935,ACC-881008,401k,1998-01-05,2100.00,0.00,0.00,480000.00,0.00,conservative,44000
MWF-10009,Marcus,Bell,1996-04-03,5541,2020-08-22,active,marcus.bell@gmail.com,4145550909,678 Hickory Dr,Janesville,WI,53545,ACC-881009,savings,2020-08-22,1200.00,3500.00,6000.00,2000.00,100.00,aggressive,34000
MWF-10010,Helen,Fischer,1971-01-19,4409,2006-05-11,active,helen.fischer@yahoo.com,4145551010,100 Lakeview Pkwy,Madison,WI,53703,ACC-881010,checking,2006-05-11,22000.00,65000.00,0.00,225000.00,900.00,moderate,92000
